Blog	getting	real	youtube	our	years	people	us	do	design	things	why	way	think	writing	makes	into	product	does	which	features	build	everything	going	business	ve	written	these	ll	keep	them	want	show	tell	started	called	start	day	work	down	other	may	far	coming	check	ready	watch	hope	any	ideas	future	please	post	where	story	well	know	self	might	most	few	months	ago	asked	he	d	earlier	no	didn	learning	did	talk	rather	his	really	after	myself	answer	head	someone	yet	had	idea	against	because	own	list	goes	each	shot	thought	here	state	bad	without	make	don	re	model	view	also	means	him	remember	point	trying	between	two	else	last	thing	need	get	done	then	go	see	family	important	better	being	ways	actually	good	feel	stop	person	something	take	write	later	results	version	process	create	working	isn	home	her	different	wants	everyone	must	others	team	questions	become	than	even	try	said	light	only	give	sure	find	created	put	wanted	every	week	set	would	made	same	now	m	could	friend	anyone	company	simply	help	comes	needed	found	say	always	love	too	once	problem	social	media	public	seems	play	ever	hard	were	co	tech	companies	com	c	b	thanks	hands	service	support	five	whether	wrote	its	hand	experience	users	together	got	those	turn	email	hours	page	very	wrong	much	less	best	part	month	kind	seen	before	many	off	while	took	right	name	original	paper	over	interesting	fun	life	x	number	level	look	feature	me	great	including	question	lot	doing	decided	using	around	past	turned	job	building	looking	back	again	instead	end	went	come	full	along	data	built	pick	case	single	use	thinking	let	making	web	long	year	easy	search	bit	finally	small	though	early	hit	learn	project	enough	recently	available	book	she	digital	talking	through	world	black	doesn	until	used	often	since	during	apple	simple	content	should	order	never	several	both	short	place	another	share	still	possible	happy	reading	taking	next	change	nothing	forward	read	notes	least	group	based	four	example	favorite	stuff	course	free	shows	am	big	pay	close	attention	days	former	won	tips	online	community	readers	side	today	mean	amazon	links	local	power	second	buy	link	behind	john	seven	amazing	live	google	came	art	blog	times	already	having	away	call	open	facebook	ad	half	america	under	music	latest	twitter	president	face	little	night	school	lives	follow	million	left	friends	probably	u	guy	man	almost	police	tv	friday	among	driving	says	morning	hour	old	money	pretty	takes	trump	top	told	news	woman	according	camera	appeared	posted	site	game	three	photos	san	students	nbsp	soon	sound	machine	app	phone	website	store	maybe	photo	tools	recent	march	city	continue	internet	york	easter	april	government	women	house	special	report	system	update	high	country	series	stories	science	american	video	security	k	movie	sale	network	paul	shooting	white	line	th	fake	lead
Signal v. Noise - Medium	9	10	4	53	11	43	12	59	9	21	19	29	17	5	2	15	8	6	11	3	11	3	17	7	23	3	21	17	7	29	22	12	2	13	5	11	9	40	10	12	10	5	4	5	2	1	3	9	6	5	6	3	20	12	14	27	32	12	13	13	7	2	6	20	23	3	22	9	9	10	5	5	11	7	6	2	5	3	9	6	14	5	2	10	13	10	2	10	1	3	17	3	13	6	19	20	65	1	2	6	5	9	3	2	5	5	8	2	8	8	14	18	8	12	8	12	4	5	15	14	5	12	19	20	6	13	21	8	1	3	1	2	7	5	8	8	1	7	6	1	17	2	12	76	23	6	16	5	7	2	2	13	11	7	8	3	5	4	6	3	11	24	10	3	8	6	11	4	3	16	5	17	2	5	6	15	4	6	10	5	3	3	5	5	2	3	4	3	13	1	1	5	3	2	3	4	6	12	31	2	5	2	5	2	7	3	6	6	6	4	3	1	7	3	1	9	4	17	6	3	9	5	10	6	9	6	3	13	1	1	1	16	1	2	12	1	2	3	7	9	8	6	2	3	4	14	2	3	6	4	2	6	3	2	10	2	6	9	1	8	4	2	3	3	4	3	2	6	3	4	9	6	3	8	4	2	7	3	4	6	4	1	8	6	2	1	1	3	5	1	2	7	24	3	5	1	2	10	3	6	3	1	2	13	3	2	1	3	2	6	2	12	4	3	2	9	4	4	7	1	2	2	2	2	2	2	2	3	2	1	2	4	1	6	2	1	2	2	4	2	3	1	3	2	1	1	2	3	2	1	4	3	3	1	2	2	2	2	2	2	2	3	3	1	2	3	4	2	1	1	3	2	1	1	1	1	1	4	1	2	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	0	1	0	1	5	12	2	5	0	6	3	2	1	0	0	3	0	1	2	0	0	1	4	0	1	1	1	1	0	7	1	3	0	0	0	0	5	1	3	3	0	1	0	0	0	0	1	2	0	0	0	1	4	0	0	3	4	0	4	0	0	2	0	4	2	0	8	0	0	2	0	0	5	3	1	0	0	0	1	0	3	1	1	3	0	0	1	0	1	2	1	0	3	1	5	7	1	0	1	1	0	0	0	5	0	0	2	1	2	2	0	0	0	1	2	1	1	1	1	5	0	2	3	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	7	0	3	0	0	3	0	2	0	0	0	1	1	1	2	0	1	2	2	1	0	0	2	0	0	0	2	0	5	5	1	2	1	3	9	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	2	0	0	1	0	0	1	2	5	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	5	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	1	0	0	1	1	0	2	0	3	0	0	1	0	1	3	0	0	0	1	2	4	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	1	1	0	3	2	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	4	0	0	0	3	0	0	0	2	2	1	2	1	2	2	3	4	1	1	2	1	4	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	1	0	0	0	2	1	0	5	0	1	2	1	1	2	0	0	0	5	0	0	0	0	1	0	3	0	2	0	0	1	1	0	0	1	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	1	3	21	1	0	0	4	0	0	4	0	1	2	0	0	5	0	4	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	2	5	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	2	0	2	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	7	1	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	7	0	0	0	1	0	0	0	20	0	0	0	2	0	0	20	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	20	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	3	0	0	0	2	0	6	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	3	1	0	1	2	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	12	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	0	0	0	3	1	3	1	3	1	1	0	1	0	0	1	3	0	0	5	0	0	0	2	0	4	0	1	6	0	4	2	1	0	0	1	1	3	1	1	4	1	0	0	0	0	0	0	3	0	1	0	2	1	0	2	2	0	0	3	1	0	1	1	2	2	0	6	0	0	1	0	0	1	0	0	0	3	0	1	1	3	3	0	5	0	1	1	3	0	0	2	0	0	0	3	4	5	0	2	2	0	0	0	0	0	0	3	2	0	1	2	5	0	3	1	4	0	0	0	0	0	2	0	1	0	0	2	1	0	2	1	0	2	1	2	1	1	0	2	0	0	0	1	0	2	0	1	4	0	2	0	2	0	0	3	0	1	0	1	0	1	11	2	1	4	2	1	0	1	0	0	0	1	1	0	0	2	2	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	0	6	0	3	1	0	1	1	0	0	1	0	3	0	0	0	0	1	1	4	1	4	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	1	0	1	5	0	1	2	4	0	0	4	0	2	0	4	2	2	1	0	0	0	3	0	0	0	1	1	2	0	0	0	1	1	1	3	1	2	0	4	1	0	1	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	1	1	2	0	2	2	0	0	1	0	1	0	1	1	0	0	2	0	0	7	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	1	28	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	2	0	0	0	0	0	0	2	2	4	4	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSS feed – Search Engine Watch	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	15	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blog News	0	0	0	2	4	0	0	0	0	0	1	3	0	2	0	3	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	1	0	1	0	1	0	0	0	0	0	2	0	0	2	0	4	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	3	0	2	1	1	0	0	0	0	1	1	0	0	1	0	1	2	0	0	2	0	2	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	1	2	0	2	0	0	1	2	0	2	0	1	3	0	1	2	0	4	0	0	0	1	0	0	0	2	0	3	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	3	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	2	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC News: Investigative Unit	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celebslam	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
